#,Date ,close ,Return,Sorted Returns,,Replication,Simulated Returns,,Calculation of value at risk - Tata Steel,,,,
,,,,,,,,,,,,,
,18-Aug-25,676,-1.69%,0.69%,,38,-0.009949993,,,,,,
,14-Aug-25,664.6,-0.13%,0.67%,,39,0.006211152,,,,,,
,13-Aug-25,663.75,-1.45%,0.66%,,40,0.026438139,,,,,,
,12-Aug-25,654.1,-0.05%,0.66%,,41,0.014533428,,,,,,
,11-Aug-25,653.75,-3.07%,0.61%,,42,0.003459717,,,,,,
,8-Aug-25,633.7,2.02%,0.61%,,43,0.028046766,,,,,,
,7-Aug-25,646.5,0.98%,0.55%,,44,0.009600783,,,,,,
,6-Aug-25,652.85,0.27%,0.53%,,45,0.008751171,,,,,,
,5-Aug-25,654.6,-0.15%,0.48%,,46,0.034410594,,,,,,
,4-Aug-25,653.6,-0.73%,0.46%,,47,-0.014453793,,,,,,
,1-Aug-25,648.85,2.64%,0.46%,,48,-0.016094728,,,,,,
,31-Jul-25,665.95,0.38%,0.38%,,49,-0.016377358,,,,,,
,30-Jul-25,668.45,3.58%,0.38%,,50,0.01326821,,,,,,
,29-Jul-25,692.35,-1.36%,0.33%,,51,-0.011601276,,,,,,
,28-Jul-25,682.9,0.66%,0.32%,,52,-0.004590803,,,,,,
,25-Jul-25,687.4,1.91%,0.31%,,53,-0.027701998,,,,,,
,24-Jul-25,700.5,-1.48%,0.27%,,54,0.000599921,,,,,,
,23-Jul-25,690.1,-2.42%,0.21%,,55,-0.02491143,,,,,,
,22-Jul-25,673.4,2.09%,0.20%,,56,0.034381323,,,,,,
,21-Jul-25,687.45,-1.05%,0.16%,,57,-0.01004179,,,,,,
,18-Jul-25,680.25,0.21%,0.07%,,58,-0.014495766,,,,,,
,17-Jul-25,681.7,-0.40%,0.06%,,59,-0.015188283,,,,,,
,16-Jul-25,679,0.80%,0.06%,,60,-0.003545926,,,,,,
,15-Jul-25,684.4,-1.45%,0.03%,,61,0.00444813,,,,,,
,14-Jul-25,674.5,1.08%,-0.05%,,62,0.009614892,,,,,,
,11-Jul-25,681.8,2.02%,-0.05%,,63,0.001475874,,,,,,
,10-Jul-25,695.6,-0.40%,-0.11%,,64,0.009530523,,,,,,
,9-Jul-25,692.8,0.06%,-0.12%,,65,-0.02383846,,,,,,
,8-Jul-25,693.2,-0.63%,-0.13%,,66,0.001720615,,,,,,
,7-Jul-25,688.85,0.03%,-0.13%,,67,-0.014083657,,,,,,
,4-Jul-25,689.05,0.20%,-0.13%,,68,-0.006805485,,,,,,
,3-Jul-25,690.4,-0.27%,-0.14%,,69,0.015278618,,,,,,
,2-Jul-25,688.55,-0.69%,-0.15%,,70,-0.014506115,,,,,,
,1-Jul-25,683.8,0.61%,-0.16%,,71,0.017938397,,,,,,
,30-Jun-25,688,-0.16%,-0.21%,,72,-0.002085874,,,,,,
,27-Jun-25,686.9,-0.60%,-0.27%,,73,0.021948925,,,,,,
,26-Jun-25,682.75,-1.21%,-0.30%,,74,0.009926834,,,,,,
,25-Jun-25,674.5,-0.13%,-0.36%,,75,-0.001603533,,,,,,
,24-Jun-25,673.65,-0.36%,-0.36%,,76,0.021704581,,,,,,
,23-Jun-25,671.25,0.74%,-0.37%,,77,-0.014577228,,,,,,
,20-Jun-25,676.2,-0.58%,-0.40%,,78,0.023385266,,,,,,
,19-Jun-25,672.3,-0.30%,-0.40%,,79,-0.00628149,,,,,,
,18-Jun-25,670.25,0.67%,-0.56%,,80,0.007872442,,,,,,
,17-Jun-25,674.75,1.76%,-0.58%,,81,0.030868662,,,,,,
,16-Jun-25,686.65,3.70%,-0.60%,,82,0.029249293,,,,,,
,13-Jun-25,712.05,0.46%,-0.61%,,83,-0.010715117,,,,,,
,12-Jun-25,715.35,2.94%,-0.63%,,84,0.003576641,,,,,,
,11-Jun-25,736.4,-0.56%,-0.69%,,85,0.007783577,,,,,,
,10-Jun-25,732.25,-1.97%,-0.73%,,86,0.036450297,,,,,,
,9-Jun-25,717.8,-0.95%,-0.73%,,87,0.024166997,,,,,,
,6-Jun-25,711,-0.12%,-0.75%,,88,0.005465083,,,,,,
,5-Jun-25,710.15,-0.14%,-0.82%,,89,-0.006747226,,,,,,
,4-Jun-25,709.15,-0.75%,-0.88%,,90,0.000601095,,,,,,
,3-Jun-25,703.85,1.10%,-0.90%,,91,0.009190383,,,,,,
,2-Jun-25,711.6,1.11%,-0.95%,,92,-0.013265423,,,,,,
,30-May-25,719.5,0.69%,-0.95%,,93,-0.001003734,,,,,,
,29-May-25,724.45,-0.90%,-1.05%,,94,0.030294962,,,,,,
,28-May-25,717.95,-0.21%,-1.09%,,95,0.032134167,,,,,,
,27-May-25,716.45,1.75%,-1.11%,,96,-0.035562937,,,,,,
,26-May-25,729,-1.47%,-1.13%,,97,-0.002384833,,,,,,
,23-May-25,718.25,-0.11%,-1.19%,,98,0.00462479,,,,,,
,22-May-25,717.45,1.30%,-1.21%,,99,0.028525526,,,,,,
,21-May-25,726.8,-1.09%,-1.26%,,100,-0.006922598,,,,,,
,20-May-25,718.9,1.47%,-1.28%,,101,0.009691479,,,,,,
,19-May-25,729.5,0.16%,-1.31%,,102,0.003881458,,,,,,
,16-May-25,730.7,-0.36%,-1.35%,,103,0.010571067,,,,,,
,15-May-25,728.1,-4.00%,-1.36%,,104,-0.015210759,,,,,,
,14-May-25,698.95,1.25%,-1.44%,,105,-0.022462524,,,,,,
,13-May-25,707.7,1.85%,-1.45%,,106,-0.008353245,,,,,,
,12-May-25,720.8,-1.71%,-1.45%,,107,0.003194354,,,,,,
,9-May-25,708.5,-3.62%,-1.47%,,108,-0.025769905,,,,,,
,8-May-25,682.85,-0.37%,-1.48%,,109,0.0006486,,,,,,
,7-May-25,680.3,-4.72%,-1.69%,,110,0.022970154,,,,,,
,6-May-25,648.2,2.06%,-1.71%,,111,-0.003014571,,,,,,
,5-May-25,661.55,-1.44%,-1.93%,,112,0.005931627,,,,,,
,2-May-25,652,-1.19%,-1.97%,,113,0.017006627,,,,,,
,30-Apr-25,644.25,3.31%,-2.42%,,114,6.30072E-05,,,,,,
,29-Apr-25,665.6,0.38%,-3.06%,,115,-0.027512188,,,,,,
,28-Apr-25,668.15,-1.93%,-3.07%,,116,-0.004523493,,,,,,
,25-Apr-25,655.25,2.00%,-3.46%,,117,0.016021061,,,,,,
,24-Apr-25,668.35,-1.26%,-3.62%,,118,0.000329525,,,,,,
,23-Apr-25,659.9,-4.40%,-3.86%,,119,-0.012619738,,,,,,
,22-Apr-25,630.85,-0.13%,-4.00%,,120,-0.032214272,,,,,,
,21-Apr-25,630.05,-1.35%,-4.36%,,121,0.010309152,,,,,,
,17-Apr-25,621.55,-0.88%,-4.40%,,122,-0.027398897,,,,,,
,16-Apr-25,616.05,1.00%,-4.72%,,123,-0.009325036,,,,,,
,15-Apr-25,622.2,-4.36%,-5.31%,,124,0.000620768,,,,,,
,11-Apr-25,595.05,-100.00%,-100.00%,,125,0.022620442,,,,,,
,,,,,,126,-0.025677431,,,,,,
,,,,,,127,-0.005751786,,,,,,
,,,,,,128,0.017952766,,,,,,
,,,,,,129,-0.00100819,,,,,,
,,,,,,130,0.005184129,,,,,,
,,,,,,131,-0.006230985,,,,,,
,,,,,,132,0.033485166,,,,,,
,,,,,,133,-0.005259099,,,,,,
,,,,,,134,0.007631235,,,,,,
,,,,,,135,-0.00918869,,,,,,
,,,,,,136,0.009122192,,,,,,
,,,,,,137,0.003731872,,,,,,
,,,,,,138,-0.0346214,,,,,,
,,,,,,139,-0.005065757,,,,,,
,,,,,,140,0.036985296,,,,,,
,,,,,,141,-0.015257627,,,,,,
,,,,,,142,-0.007284774,,,,,,
,,,,,,143,-0.029030984,,,,,,
,,,,,,144,0.017192992,,,,,,
,,,,,,145,-0.011199385,,,,,,
,,,,,,146,-0.005705838,,,,,,
,,,,,,147,0.010431251,,,,,,
,,,,,,148,-0.014168904,,,,,,
,,,,,,149,0.014857289,,,,,,
,,,,,,150,0.013607656,,,,,,
,,,,,,151,0.016663554,,,,,,
,,,,,,152,-0.007087776,,,,,,
,,,,,,153,-0.019353398,,,,,,
,,,,,,154,-0.031879588,,,,,,
,,,,,,155,0.029304985,,,,,,
,,,,,,156,0.010242694,,,,,,
,,,,,,157,0.005428516,,,,,,
,,,,,,158,-0.01537784,,,,,,
,,,,,,159,-0.018445825,,,,,,
,,,,,,160,0.009611722,,,,,,
,,,,,,161,-0.003108055,,,,,,
,,,,,,162,0.003665629,,,,,,
,,,,,,163,-0.021195545,,,,,,
,,,,,,164,0.001521814,,,,,,
,,,,,,165,-0.019504011,,,,,,
,,,,,,166,-0.003808047,,,,,,
,,,,,,167,-0.02799998,,,,,,
,,,,,,168,-0.00916372,,,,,,
,,,,,,169,0.000809228,,,,,,
,,,,,,170,0.003366482,,,,,,
,,,,,,171,0.03773719,,,,,,
,,,,,,172,0.013634386,,,,,,
,,,,,,173,-0.008006053,,,,,,
,,,,,,174,-0.002142586,,,,,,
,,,,,,175,0.009464956,,,,,,
,,,,,,176,-0.015679641,,,,,,
,,,,,,177,-0.010936575,,,,,,
,,,,,,178,-0.033492733,,,,,,
,,,,,,179,0.006877726,,,,,,
,,,,,,180,-0.009530594,,,,,,
,,,,,,181,0.026494673,,,,,,
,,,,,,182,0.003036085,,,,,,
,,,,,,183,-0.008565831,,,,,,
,,,,,,184,0.039671026,,,,,,
,,,,,,185,0.001720556,,,,,,
,,,,,,186,-0.026544543,,,,,,
,,,,,,187,0.016771154,,,,,,
,,,,,,188,0.025265647,,,,,,
,,,,,,189,0.006969564,,,,,,
,,,,,,190,-0.018857299,,,,,,
,,,,,,191,-0.024059198,,,,,,
,,,,,,192,-0.012360276,,,,,,
,,,,,,193,-0.003003153,,,,,,
,,,,,,194,-0.02968869,,,,,,
,,,,,,195,-0.012985444,,,,,,
,,,,,,196,0.008087148,,,,,,
,,,,,,197,-0.016230486,,,,,,
,,,,,,198,0.007715984,,,,,,
,,,,,,199,-0.020500663,,,,,,
,,,,,,200,0.02878344,,,,,,
,,,,,,201,-0.006942875,,,,,,
,,,,,,202,0.028855088,,,,,,
,,,,,,203,-0.016207244,,,,,,
,,,,,,204,0.005008378,,,,,,
,,,,,,205,-2.36654E-05,,,,,,
,,,,,,206,-0.022616027,,,,,,
,,,,,,207,-0.013063483,,,,,,
,,,,,,208,0.008523271,,,,,,
,,,,,,209,0.009808178,,,,,,
,,,,,,210,-0.009230781,,,,,,
,,,,,,211,-0.009910264,,,,,,
,,,,,,212,-0.014947584,,,,,,
,,,,,,213,0.008475997,,,,,,
,,,,,,214,0.0001036,,,,,,
,,,,,,215,-0.002602916,,,,,,
,,,,,,216,0.003580529,,,,,,
,,,,,,217,0.002302183,,,,,,
,,,,,,218,0.002357729,,,,,,
,,,,,,219,0.00270863,,,,,,
,,,,,,220,0.004470896,,,,,,
,,,,,,221,-0.014672522,,,,,,
,,,,,,222,0.001514969,,,,,,
,,,,,,223,0.011872186,,,,,,
,,,,,,224,0.013632153,,,,,,
,,,,,,225,-0.019339097,,,,,,
,,,,,,226,-0.015670721,,,,,,
,,,,,,227,-0.008759588,,,,,,
,,,,,,228,0.013014674,,,,,,
,,,,,,229,0.015273675,,,,,,
,,,,,,230,-0.020775107,,,,,,
,,,,,,231,-0.01483594,,,,,,
,,,,,,232,-0.015987158,,,,,,
,,,,,,233,0.017814103,,,,,,
,,,,,,234,-0.003261983,,,,,,
,,,,,,235,0.010229474,,,,,,
,,,,,,236,0.006563119,,,,,,
,,,,,,237,-0.008720227,,,,,,
,,,,,,238,-0.02030907,,,,,,
